,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Weekend Reservations,Weekday Reservations,Revenue,Location_Rural,Location_Suburban,Cuisine_French,Cuisine_Indian,Cuisine_Italian,Cuisine_Japanese,Cuisine_Mexican,Parking Availability_Yes
18,3.2,60,55.73,2270.0,23723.0,18,421,279.8494369218284,5.7,8.0,50,45,767869.7,0,1,1,0,0,0,0,1
19,4.3,59,34.28,1940.0,20192.0,6,539,89.67805980487975,9.0,9.5,0,43,464653.52,0,1,0,0,0,0,1,1
20,3.6,72,33.91,2462.0,26536.0,15,302,92.56733795290153,4.9,4.7,37,10,561710.45,0,0,0,1,0,0,0,0
21,4.3,76,39.61,3444.0,40515.0,1,535,97.36728738358504,3.1,3.3,65,65,676879.89,0,0,0,0,0,0,0,0
22,4.2,53,64.15,1957.0,22672.0,17,920,155.8423575663224,3.8,9.3,40,46,779565.05,0,1,1,0,0,0,0,1
23,3.3,57,56.0,2348.0,26717.0,2,307,268.55543375298384,4.8,7.4,41,14,715699.85,0,1,1,0,0,0,0,0
24,3.4,77,28.9,6712.0,72937.0,4,488,270.36853151506034,6.5,1.6,16,25,511266.45,0,0,0,0,0,0,1,1
25,4.2,75,35.47,2035.0,24134.0,3,651,197.6469341342268,7.9,6.2,35,2,599518.34,0,0,0,0,0,0,1,1
26,3.3,82,37.69,1418.0,18874.0,3,67,214.53572446586372,3.2,1.3,51,17,687854.64,0,0,0,1,0,0,0,1
27,3.5,41,43.3,3124.0,37912.0,14,268,274.4405859037032,2.7,3.0,13,19,414143.9,1,0,0,0,0,0,0,0
28,4.7,32,53.33,2362.0,29777.0,8,561,206.05473886592432,2.8,1.6,16,23,392170.36,1,0,0,0,1,0,0,1
29,3.7,35,30.67,2749.0,29486.0,8,227,107.44991945883044,9.4,2.8,27,15,256525.49,1,0,0,1,0,0,0,0
30,4.0,68,47.24,3194.0,36724.0,9,258,226.2285170828849,2.5,5.4,5,9,724252.64,0,1,0,0,1,0,0,0
31,4.9,40,70.4,2029.0,27413.0,18,862,242.47269352847465,4.1,3.7,8,21,646783.75,1,0,0,0,0,1,0,0
32,3.5,53,59.05,2351.0,31725.0,7,576,208.8361558037068,5.4,1.8,10,19,703970.55,0,1,1,0,0,0,0,0
33,3.8,64,39.52,3799.0,44954.0,10,284,118.39236586058098,6.0,5.3,7,48,580250.12,0,1,0,0,0,0,0,1
34,4.2,31,38.6,956.0,14320.0,1,184,149.979462398385,8.7,7.4,14,15,274742.8,1,0,0,1,0,0,0,0
35,4.5,64,55.16,4028.0,40754.0,4,258,167.64810191168516,2.0,1.5,51,9,790777.86,0,1,1,0,0,0,0,1
36,4.8,46,42.27,3810.0,44176.0,4,260,86.32460453859498,2.0,8.9,22,25,445708.47,1,0,0,0,0,0,0,1
37,4.8,31,35.0,4536.0,51384.0,14,716,163.05581361499628,3.8,6.9,5,16,268505.2,1,0,0,0,0,0,0,1
38,4.6,76,35.69,3560.0,41693.0,5,601,90.29935583230024,4.7,5.7,38,11,614599.82,0,0,0,0,0,0,0,1
39,3.5,45,59.49,2143.0,21600.0,5,322,174.86293601821393,4.4,4.6,10,6,601664.29,1,0,1,0,0,0,0,0
40,3.0,74,39.25,2397.0,29088.0,19,209,62.70268963819654,4.5,4.5,4,60,667565.4,0,0,0,1,0,0,0,0
41,3.8,45,26.59,3754.0,44524.0,5,193,287.1328729903007,8.7,4.0,30,32,283286.23,1,0,0,0,0,0,1,0
42,3.3,48,61.1,2520.0,28671.0,11,752,111.58621606746424,8.5,2.0,15,43,668794.55,1,0,1,0,0,0,0,1
43,4.4,71,42.46,6923.0,75267.0,2,557,166.75357746440224,8.2,1.7,29,61,686243.79,0,0,0,0,0,0,0,0
44,4.3,84,32.52,3365.0,37755.0,15,783,58.18804413308949,7.8,3.8,24,17,628872.49,0,0,0,1,0,0,0,0
45,3.1,33,70.64,1576.0,20621.0,14,383,98.18038054992454,1.4,7.0,11,10,534359.77,1,0,0,0,0,1,0,0
46,4.7,51,55.03,2420.0,26703.0,14,551,223.31124795839435,2.3,3.6,2,11,638362.61,0,1,0,0,1,0,0,0
47,3.5,79,40.63,4396.0,52183.0,8,493,77.95015078472349,7.6,8.3,52,31,732451.07,0,0,0,0,0,0,0,0
48,3.9,54,66.73,1668.0,19396.0,8,803,207.03729024102785,6.4,4.4,3,35,810162.52,0,1,0,0,0,1,0,0
49,4.3,67,31.91,2715.0,31583.0,5,922,50.517222858584994,7.1,6.7,49,35,490291.52,0,1,0,0,0,0,1,0
50,3.9,53,41.51,2028.0,23259.0,5,899,166.25233144891587,7.5,4.9,47,9,501334.08,0,1,0,0,0,0,0,0
51,3.9,70,65.3,2139.0,28365.0,14,135,230.33591018082197,9.2,5.5,14,40,1030821.95,0,0,0,0,0,1,0,0
52,3.1,67,36.0,2063.0,27503.0,5,229,281.57321572843284,6.7,3.3,31,2,544343.65,0,1,0,0,0,0,0,0
53,3.8,89,56.72,6601.0,71072.0,9,129,173.20904402310344,3.5,5.6,84,47,1140222.94,0,0,1,0,0,0,0,1
54,4.5,55,31.5,976.0,17078.0,11,866,260.13311743465664,1.7,2.0,1,47,397829.4,0,1,0,1,0,0,0,1
55,4.8,49,67.85,1092.0,14277.0,17,610,250.64783868041425,4.9,4.5,45,48,759680.25,1,0,0,0,0,1,0,0
56,3.8,49,35.0,3448.0,40630.0,12,203,123.94269426687748,7.4,5.0,47,38,404369.5,1,0,0,1,0,0,0,0
57,3.8,83,59.09,1578.0,16962.0,12,228,268.6834059779197,3.5,7.3,66,75,1103481.72,0,0,1,0,0,0,0,1
58,4.4,39,64.8,2632.0,31401.0,16,348,210.07074495231404,2.1,4.6,24,15,581548.05,1,0,1,0,0,0,0,1
59,4.9,47,36.73,2117.0,21300.0,1,375,76.04616202158994,10.0,7.0,26,28,394535.81,1,0,0,1,0,0,0,1
60,3.5,58,74.64,3294.0,37894.0,18,804,284.7781991489701,4.8,2.6,26,48,983744.34,0,1,0,0,0,1,0,1
61,3.9,81,35.8,3917.0,39953.0,6,888,94.16918538346434,2.9,1.2,8,64,655332.95,0,0,0,1,0,0,0,1
62,4.6,59,30.99,1633.0,21961.0,5,58,167.59023682407346,2.5,5.6,35,27,415056.72,0,1,0,1,0,0,0,0
63,4.2,70,50.1,1693.0,25006.0,18,477,166.59134638627495,8.8,5.3,10,44,800532.2,0,1,0,0,1,0,0,1
64,3.2,68,74.04,701.0,9386.0,13,241,206.30915578522595,8.4,7.0,38,59,1132488.36,0,1,0,0,0,1,0,1
65,4.3,55,47.14,1715.0,25940.0,6,139,216.23919141961932,6.5,3.8,6,53,585880.06,0,1,0,0,1,0,0,0
66,3.4,63,36.0,1737.0,20253.0,7,51,108.22695740968422,5.9,1.3,12,39,512848.15,0,1,0,0,0,0,0,1
67,4.0,57,33.62,3076.0,34682.0,3,469,138.11062212940868,9.6,7.5,6,25,439556.78,0,1,0,1,0,0,0,1
68,4.1,63,39.28,1666.0,17128.0,11,52,86.14755115768808,3.1,9.5,41,21,565140.92,0,1,0,0,0,0,0,0
69,4.8,80,68.37,1999.0,22056.0,8,999,81.50393351238881,4.7,4.5,46,24,1221327.6,0,0,0,0,0,1,0,1
70,3.9,45,31.49,2413.0,23681.0,4,454,256.266838810939,1.2,6.5,42,23,325942.35,1,0,0,1,0,0,0,0
71,3.6,69,37.76,1825.0,18960.0,10,541,237.68033508177112,4.8,5.9,5,6,591124.22,0,1,0,0,0,0,0,1
72,3.5,55,32.51,1000.0,11598.0,9,756,160.67087165721108,4.5,6.1,3,20,410222.58,0,1,0,0,0,0,1,0
73,4.7,64,59.25,1986.0,22315.0,13,314,73.97732096073182,9.5,8.8,42,0,859809.25,0,1,1,0,0,0,0,1
74,3.3,64,36.96,998.0,15828.0,19,829,162.48043584248825,4.2,7.6,24,59,549945.44,0,1,0,1,0,0,0,1
75,3.9,63,60.9,2279.0,25738.0,15,292,123.61392343620048,8.5,7.9,19,1,869944.7,0,1,1,0,0,0,0,1
76,3.4,70,51.04,1834.0,17917.0,5,726,244.47980510687785,7.9,1.8,24,16,799433.65,0,1,0,0,1,0,0,0
77,4.5,41,37.73,2419.0,31439.0,13,774,74.1598336108543,2.3,2.3,36,27,363203.11,1,0,0,0,0,0,0,0
78,3.9,31,50.74,3498.0,43114.0,12,982,162.8421384362643,9.7,7.0,8,15,375357.58,1,0,0,0,1,0,0,1
79,3.7,57,30.26,2634.0,27596.0,9,409,197.84676090747675,6.7,5.9,40,52,401968.3,0,1,0,1,0,0,0,1
80,3.7,48,59.75,2156.0,27054.0,8,244,296.4313133032638,6.4,8.0,43,18,652011.45,1,0,1,0,0,0,0,1
81,4.7,83,61.3,6348.0,72995.0,9,548,72.40203279801817,1.1,1.8,82,46,1146814.25,0,0,1,0,0,0,0,1
82,4.1,54,37.0,3050.0,37196.0,13,617,78.49011804174151,7.3,6.1,11,13,465818.8,0,1,0,0,0,0,0,0
83,4.4,78,32.82,5259.0,54074.0,9,666,297.01229005412523,1.5,5.4,34,55,587926.42,0,0,0,1,0,0,0,1
84,4.8,82,27.41,2540.0,27671.0,6,262,151.4062886157257,2.7,8.7,67,28,512250.28,0,0,0,0,0,0,1,1
85,4.8,58,25.78,1725.0,21828.0,6,880,235.92857679953624,1.9,2.7,55,1,342640.14,0,1,0,0,0,0,1,0
86,3.7,43,38.83,796.0,9045.0,11,203,245.8688456227368,4.4,4.1,18,10,384051.6,1,0,0,0,0,0,0,0
87,4.9,74,40.77,7187.75,77526.875,10,777,128.6398523032284,8.2,2.4,49,31,697357.07,0,0,0,1,0,0,0,0
88,3.0,51,38.89,2911.0,36596.0,14,95,103.57505173530014,7.4,5.1,43,46,464459.92,0,1,0,0,0,0,0,1
89,3.8,76,35.07,6004.0,59758.0,6,230,119.02280001318076,2.0,8.9,5,34,608976.71,0,0,0,1,0,0,0,1
90,4.8,85,52.18,7187.75,77526.875,7,621,241.09835625953704,8.2,7.0,30,42,1007855.01,0,0,0,0,1,0,0,0
91,3.5,80,42.13,3278.0,41075.0,9,805,260.1198627563245,5.1,7.7,72,72,768165.07,0,0,0,0,0,0,0,1
92,3.5,80,40.45,1919.0,23426.0,3,275,224.87623429282425,1.3,1.8,47,33,721069.8,0,0,0,1,0,0,0,1
93,3.6,41,34.43,3557.0,39751.0,12,81,160.3068924272212,3.0,5.1,25,8,333818.21,1,0,0,0,0,0,1,0
94,4.2,82,38.73,2709.0,27371.0,16,396,115.64086418963052,8.1,8.5,5,63,728671.03,0,0,0,1,0,0,0,1
95,3.9,77,40.47,7011.0,77526.875,13,495,156.3122606235318,7.6,8.5,36,46,722199.5,0,0,0,1,0,0,0,1
96,4.5,85,37.54,6809.0,75456.0,6,224,278.63165490731143,2.7,9.9,20,8,726592.52,0,0,0,0,0,0,0,1
97,4.8,50,51.79,1062.0,18043.0,13,878,265.7988854392484,1.3,5.7,41,2,590078.62,1,0,0,0,1,0,0,0
98,4.3,70,54.76,2549.0,31340.0,5,655,130.8440518548392,3.7,1.0,51,44,858723.5,0,0,0,0,1,0,0,0
99,3.4,82,51.87,5039.0,58390.0,4,949,131.98520401759407,8.2,9.1,66,20,960968.28,0,0,0,0,1,0,0,0
100,4.9,40,55.75,2769.0,29693.0,8,179,244.9935124447328,9.4,9.6,24,33,515043.9,1,0,0,0,1,0,0,0
101,3.5,33,66.1,1180.0,15935.0,3,712,156.64351314613026,6.2,9.3,20,27,495552.15,1,0,0,0,0,1,0,0
102,3.3,33,39.83,1280.0,17016.0,2,872,193.1807021236652,1.8,7.9,10,32,300889.07,1,0,0,0,0,0,0,0
103,3.2,84,65.75,1479.0,21198.0,19,346,155.57943509089216,5.5,2.9,26,39,1240981.15,0,0,1,0,0,0,0,0
104,4.1,32,39.18,2990.0,29432.0,7,301,110.58470495909064,10.0,2.3,27,17,296005.96,1,0,0,0,0,0,0,1
105,3.2,48,73.14,2936.0,31610.0,12,501,97.2134422139319,9.4,7.3,3,4,796696.16,1,0,0,0,0,1,0,1
106,3.3,90,45.33,3122.0,29756.0,4,470,84.88542985843246,9.9,2.3,40,45,914518.15,0,0,0,0,1,0,0,1
107,3.6,31,72.64,1175.0,10656.0,10,700,52.85569511110284,7.3,9.6,20,19,518131.22,1,0,0,0,0,1,0,1
108,3.6,75,35.28,4869.0,53171.0,9,981,120.1541141759591,4.8,5.0,47,45,608543.81,0,0,0,0,0,0,1,0
109,4.2,57,29.21,1342.0,12643.0,12,533,92.85214757774196,9.0,1.3,25,40,387388.23,0,1,0,0,0,0,1,0
110,4.6,46,35.23,2253.0,27549.0,11,832,114.48760667387675,9.1,2.4,20,30,379839.47,1,0,0,0,0,0,0,0
111,4.5,54,35.31,4213.0,50835.0,19,406,68.95100237495917,2.3,3.6,38,41,451988.8,0,1,0,0,0,0,0,0
112,3.5,71,64.81,1690.0,16080.0,2,884,135.38984074826675,8.0,7.3,67,52,1030200.08,0,0,1,0,0,0,0,0
113,3.5,41,62.95,2944.0,29455.0,6,673,179.98964742691072,9.3,7.6,36,32,591193.4,1,0,1,0,0,0,0,1
114,4.9,74,26.17,3471.0,35561.0,6,207,286.1428537352798,9.1,2.9,48,21,445315.3,0,0,0,0,0,0,1,0
115,3.0,59,45.6,1063.0,14037.0,1,618,136.76799090388823,7.4,6.8,54,57,605891.55,0,1,0,0,1,0,0,1
116,4.8,78,73.85,7187.75,77526.875,7,751,57.75574479292471,5.8,1.3,67,7,1297333.3,0,0,0,0,0,1,0,0
117,3.4,49,63.91,940.0,12648.0,12,594,140.5910958338684,8.0,1.9,22,8,707915.91,1,0,1,0,0,0,0,1
118,4.9,37,31.33,4021.0,49725.0,12,882,254.30607186417504,5.6,5.8,8,10,282412.68,1,0,0,1,0,0,0,1
119,3.7,50,58.32,2654.0,29751.0,6,50,135.03681664793498,3.9,7.3,39,30,659796.63,0,1,1,0,0,0,0,1
120,3.9,75,53.58,6155.0,65421.0,14,692,122.93266764743578,3.3,9.2,23,36,917350.27,0,0,0,0,1,0,0,1
121,4.4,40,50.78,1308.0,17465.0,17,58,279.7487852780448,5.9,4.9,28,19,472570.71,1,0,0,0,1,0,0,0
122,4.2,52,45.52,2334.0,30509.0,17,558,124.30731954865776,5.1,2.1,6,51,547718.85,0,1,0,0,0,0,0,0
123,3.6,44,70.29,3194.0,38190.0,18,593,292.5654209801139,5.7,9.4,17,22,713492.25,1,0,0,0,0,1,0,0
124,4.1,40,52.45,2715.0,31620.0,13,638,258.15893510770803,3.3,4.9,1,8,483963.55,1,0,0,0,1,0,0,1
125,4.5,74,60.61,7187.75,77526.875,13,862,221.0624797433439,6.3,5.5,27,45,1024290.63,0,0,1,0,0,0,0,0
126,3.1,45,65.37,638.0,9937.0,11,144,199.58156835322168,7.0,8.7,42,17,668670.03,1,0,1,0,0,0,0,0
127,3.0,90,29.39,5425.0,52699.0,3,746,106.19514493643467,8.3,6.3,40,25,603751.7,0,0,0,0,0,0,1,0
128,3.9,36,47.53,881.0,15038.0,17,326,232.59960919378497,6.3,3.7,28,15,401495.71,1,0,0,0,1,0,0,1
129,3.3,55,33.59,3200.0,38583.0,2,584,136.7845324803213,7.8,5.9,44,49,424462.57,0,1,0,1,0,0,0,1
130,4.3,38,44.38,1800.0,23928.0,2,971,171.41054004208212,2.5,6.6,16,19,383272.06,1,0,0,0,0,0,0,0
131,3.4,76,70.48,4226.0,48246.0,7,166,76.01719551449023,2.1,9.0,16,15,1196887.3,0,0,0,0,0,1,0,0
132,3.9,72,33.9,3412.0,35971.0,10,505,124.03852748518148,2.6,3.1,30,15,556837.25,0,0,0,1,0,0,0,1
133,3.4,60,40.99,3388.0,35405.0,14,409,182.2798669777932,8.6,6.0,22,48,570448.15,0,1,0,0,0,0,0,1
134,4.1,41,56.47,3396.0,39804.0,19,79,167.01032839558778,6.0,9.3,9,31,543195.13,1,0,1,0,0,0,0,0
135,3.2,50,30.06,772.0,7457.0,17,932,135.87828877539735,5.1,1.4,5,37,354064.37,1,0,0,1,0,0,0,0
136,3.0,60,38.09,654.0,7708.0,16,374,167.982488789299,7.9,2.8,37,58,527585.55,0,1,0,0,0,0,0,1
137,3.1,31,61.66,694.0,10727.0,17,969,236.2315335260757,2.1,4.1,23,16,444629.83,1,0,1,0,0,0,0,0
138,4.9,30,62.83,1941.0,21205.0,18,123,164.83139104616885,1.1,7.1,14,24,441498.39,1,0,1,0,0,0,0,1
139,3.3,71,64.09,4159.0,47693.0,11,881,176.5391179311081,3.8,8.6,26,52,1029119.58,0,0,1,0,0,0,0,1
140,4.4,43,65.19,1236.0,20136.0,19,468,225.28652030261077,3.2,2.8,10,35,642624.58,1,0,1,0,0,0,0,0
141,3.1,42,59.53,2365.0,23206.0,11,967,260.40370079076155,3.8,3.2,19,41,572270.54,1,0,1,0,0,0,0,1
142,3.2,54,33.15,2300.0,22694.0,10,856,181.71594446433795,9.8,8.4,45,53,420677.3,0,1,0,0,0,0,1,1
143,4.0,51,30.82,2537.0,29430.0,14,872,287.0439037706254,6.1,2.3,4,23,370281.72,0,1,0,1,0,0,0,0
144,3.9,88,35.63,1647.0,24710.0,14,791,138.36186087283227,6.3,3.4,31,78,714683.03,0,0,0,0,0,0,0,0
145,4.9,46,26.37,3976.0,49139.0,10,312,113.13874534699328,6.9,7.6,4,20,292579.21,1,0,0,0,0,0,1,0
146,4.9,40,29.93,4192.0,43570.0,4,495,223.2724670471866,4.6,2.5,21,39,280989.1,1,0,0,0,0,0,1,1
147,4.6,45,47.32,3708.0,46116.0,10,600,93.93743415978224,9.8,8.5,0,15,495266.2,1,0,0,0,1,0,0,1
148,4.2,89,48.16,5636.0,62047.0,6,453,274.99196312412823,9.8,5.4,19,82,969613.07,0,0,0,0,1,0,0,1
149,3.9,87,52.13,5491.0,53983.0,11,153,146.64354571557914,7.9,5.0,50,19,1025521.51,0,0,0,0,1,0,0,1
150,3.7,69,68.94,1783.0,20842.0,18,489,224.53716369330868,2.9,2.2,31,4,1069409.84,0,1,0,0,0,1,0,0
151,4.9,77,51.13,2651.0,29687.0,6,913,192.54588062248453,8.9,7.1,58,14,887173.4,0,0,0,0,1,0,0,1
152,4.2,31,39.54,2332.0,24541.0,15,755,63.5977147222775,1.9,9.0,22,7,296268.77,1,0,0,0,0,0,0,1
153,4.2,46,26.86,2683.0,31728.0,6,192,227.26967683657443,6.7,7.2,27,9,290499.5,1,0,0,0,0,0,1,1
154,3.5,80,35.81,5792.0,57816.0,1,763,247.50118255094085,5.1,3.9,27,74,649612.81,0,0,0,0,0,0,0,0
155,3.1,43,32.6,2343.0,21703.0,9,966,295.6181076990516,1.4,7.3,16,33,328473.25,1,0,0,1,0,0,0,1
156,4.9,45,45.63,3819.0,44311.0,14,256,154.0319166090132,9.1,5.6,33,43,482957.58,1,0,0,0,1,0,0,1
157,3.6,84,71.8,4463.0,50781.0,3,595,175.73289198853766,9.6,8.7,59,56,1350758.47875,0,0,0,0,0,1,0,1
158,3.9,84,38.75,3588.0,37026.0,1,852,268.7168341591224,9.2,5.1,58,71,734931.05,0,0,0,1,0,0,0,0
159,3.2,32,68.74,2314.0,28085.0,14,932,117.29932825431248,2.7,3.1,27,7,507706.33,1,0,0,0,0,1,0,1
160,4.7,36,34.26,4600.0,48778.0,14,310,97.28565818163436,4.0,1.9,23,23,298590.7,1,0,0,1,0,0,0,1
161,3.1,41,33.98,1092.0,12071.0,4,873,83.22756827149281,9.6,3.5,1,33,320799.29,1,0,0,0,0,0,1,0
162,4.7,52,37.45,4054.0,44969.0,14,132,294.563053295931,2.0,6.1,26,39,455558.3,0,1,0,0,0,0,0,1
163,3.3,68,56.31,2623.0,26229.0,4,312,117.5898088856426,6.2,2.5,8,20,854365.15,0,1,1,0,0,0,0,0
164,4.8,59,40.51,4522.0,51688.0,11,870,239.34862495712557,5.4,1.4,51,51,553069.13,0,1,0,0,0,0,0,0
165,4.5,77,52.11,7187.75,77526.875,9,799,162.4167886197094,2.4,5.0,35,65,914520.63,0,0,0,0,1,0,0,0
166,3.3,65,61.6,2905.0,30441.0,11,221,110.14384367614852,9.0,4.1,56,18,905305.95,0,1,1,0,0,0,0,1
167,4.1,85,72.85,5772.0,60604.0,15,747,278.3334499017433,2.2,4.8,10,13,1350758.47875,0,0,0,0,0,1,0,0
168,3.6,81,25.62,2050.0,20944.0,6,411,165.9518754357781,6.3,5.1,31,75,473833.1,0,0,0,0,0,0,1,1
169,3.4,54,29.71,2681.0,31607.0,12,91,191.48884845477443,3.9,7.9,26,36,376876.33,0,1,0,0,0,0,1,1
170,4.7,69,67.62,4673.0,49681.0,13,789,105.62337088100624,4.8,9.6,51,19,1057810.77,0,1,0,0,0,1,0,0
171,3.8,55,53.35,3207.0,38390.0,18,323,131.03807816621998,2.9,3.4,38,19,674167.7,0,1,0,0,1,0,0,1
172,3.8,35,74.6,888.0,17622.0,14,823,236.921888475926,6.6,9.5,23,30,601671.9,1,0,0,0,0,1,0,0
173,3.3,57,33.09,2379.0,22982.0,11,549,135.76119316599647,9.9,3.1,26,28,438164.93,0,1,0,1,0,0,0,1
174,3.8,46,46.05,1508.0,22286.0,2,181,176.48963750391982,8.5,7.8,26,10,479453.8,1,0,0,0,1,0,0,1
175,4.7,81,57.79,2921.0,32339.0,19,502,78.58886929510052,7.1,7.1,39,55,1063671.52,0,0,1,0,0,0,0,1
176,3.7,43,66.14,2640.0,31845.0,2,959,262.51661541336085,7.8,1.5,31,10,639672.37,1,0,0,0,0,1,0,1
177,4.9,51,48.55,1084.0,14384.0,17,474,234.39540785181987,8.6,7.5,44,17,573559.7,0,1,0,0,1,0,0,1
178,4.9,88,60.92,6840.0,73639.0,8,992,240.18621349784172,5.3,9.1,85,73,1214801.55,0,0,1,0,0,0,0,1
179,3.3,75,75.71,6225.0,61155.0,5,658,94.54629951551284,6.1,9.4,48,17,1274919.15,0,0,0,0,0,1,0,0
180,3.4,87,29.39,3199.0,39133.0,11,102,173.78903819099963,9.1,7.2,47,8,587693.27,0,0,0,0,0,0,1,0
181,4.7,33,67.42,2893.0,33044.0,1,838,56.88531966436953,7.3,8.1,0,5,503949.14,1,0,0,0,0,1,0,0
182,3.8,54,36.83,3669.0,38003.0,16,446,128.77226944955152,2.2,1.6,52,11,464067.52,0,1,0,0,0,0,0,1
183,3.0,75,66.9,3371.0,38753.0,5,243,137.0048801917315,8.0,2.5,33,0,1118770.35,0,0,0,0,0,1,0,1
184,3.5,84,37.12,4439.0,44067.0,16,448,278.4225433841873,1.2,3.4,0,73,713627.13,0,0,0,0,0,0,0,0
185,4.2,75,63.38,4177.0,46151.0,5,513,298.1956997328456,8.6,5.8,41,65,1069533.83,0,0,1,0,0,0,0,1
186,4.6,37,65.67,2349.0,24573.0,10,404,204.43647538745975,8.1,4.5,34,7,556676.63,1,0,0,0,0,1,0,0
187,3.3,38,65.97,1981.0,21421.0,9,222,179.1921877633311,8.5,6.9,28,24,573619.33,1,0,1,0,0,0,0,0
188,3.2,70,60.75,1965.0,22135.0,19,389,160.02223356790148,1.2,5.0,17,29,961024.25,0,1,1,0,0,0,0,0
189,4.8,35,50.99,1437.0,21483.0,3,242,54.574059346229454,9.8,8.0,5,26,408032.69,1,0,0,0,1,0,0,0
190,4.5,71,58.93,6254.0,71777.0,9,479,250.02913656071527,6.5,7.4,5,43,949009.06,0,0,1,0,0,0,0,0
191,4.2,65,62.59,1095.0,19838.0,8,436,217.9564610284084,8.2,7.7,38,31,914743.76,0,1,1,0,0,0,0,1
192,4.5,89,70.19,3079.0,38554.0,4,706,212.32143754835167,6.1,8.5,54,5,1350758.47875,0,0,0,0,0,1,0,0
193,3.9,70,68.62,4270.0,46958.0,11,706,252.2608472579584,4.1,8.5,18,58,1084624.62,0,0,0,0,0,1,0,1
194,4.5,45,27.92,1184.0,17899.0,4,517,282.01355039894304,3.7,8.0,37,19,290270.07,1,0,0,0,0,0,1,0
195,3.7,50,55.18,2134.0,21130.0,12,837,147.38250472583155,1.6,1.6,2,13,624580.2,0,1,0,0,1,0,0,0
196,3.5,30,58.2,894.0,17248.0,7,821,156.60072420386956,5.9,6.6,20,22,401913.8,1,0,1,0,0,0,0,0
197,4.5,36,49.8,1387.0,18172.0,8,380,293.7847475409585,2.3,1.2,19,12,407666.1,1,0,0,0,1,0,0,1
198,3.8,65,38.85,3203.0,40009.0,10,576,216.10621275912877,6.1,7.7,4,47,579868.05,0,1,0,0,0,0,0,0
199,5.0,86,55.95,2788.0,29471.0,13,874,262.83776767640285,6.6,1.5,24,59,1082859.7,0,0,1,0,0,0,0,0
200,3.7,85,47.05,7087.0,75471.0,14,478,105.39238465094392,5.0,9.8,52,46,917206.7,0,0,0,0,1,0,0,1
201,4.8,65,27.08,1301.0,20889.0,16,844,129.26879774898867,2.4,6.5,11,9,411159.35,0,1,0,0,0,0,1,1
202,4.9,75,32.63,7187.75,77526.875,7,265,147.90130679881565,4.9,2.6,68,45,566328.89,0,0,0,0,0,0,1,1
